Open,High,Low,Volume,Close
5143.189941,5232.490234,5143.189941,29400,5229.339844
5234.720215,5300.790039,5220.600098,21600,5285.540039
5306.620117,5317.410156,5253.810059,29000,5299.959961
5321.490234,5343.910156,5283.75,25600,5315.810059
5366.930176,5399.080078,5351.029785,26400,5390.879883
5374.149902,5445,5351.209961,24400,5437.049805
5437.259766,5457.879883,5401.089844,30800,5418.22998
5432.459961,5466.299805,5407.459961,23600,5455
5486.629883,5555.680176,5486.629883,30800,5541.350098
5547.680176,5590.450195,5543.97998,33000,5577.959961
5590.009766,5616.25,5550.52002,29200,5564.330078
5566.049805,5648.240234,5560.22998,29000,5641.919922
null,null,null,30800,null
5650.740234,5705.299805,5650.740234,null,5699.240234
5725.439941,5814.259766,5725.439941,24400,5797.330078
5852.700195,5920.759766,5762.600098,18800,5791.850098
5812.379883,5876.549805,5801.52002,34200,5838.959961
null,null,null,28200,null
5944.22998,6034.379883,5944.22998,null,6026.589844
6050.47998,6078.109863,5964.649902,31400,6039
6068.680176,6121.200195,5916.330078,33600,5943.640137
5970.350098,5985.299805,5870.549805,37600,5957.02002
5992.100098,6118.620117,5992.100098,36200,6108.540039
6241.589844,6249.600098,6096.680176,31600,6119.589844
6152.220215,6152.220215,6037.299805,45200,6067.759766
6084.649902,6147.740234,6011.569824,31600,6132.970215
6162.180176,6215.02002,6162.180176,33200,6194.109863
6219.810059,6248.810059,6045.299805,35600,6063.910156
6068.660156,6072.029785,5914.02002,38000,5946.189941
5967.390137,6076.970215,5870.990234,47800,6064.100098
6099.939941,6130.089844,5899.709961,36200,5922.109863
5927.419922,5962.359863,5728.319824,41000,5758.189941
5793.830078,5852.959961,5567.680176,43200,5593.740234
5646.330078,5832.740234,5596.569824,51000,5816.640137
null,null,null,37600,null
5854.350098,6005.540039,5791.740234,null,5993.060059
5980.879883,6030.549805,5815.200195,45200,5876.049805
5865.209961,5921.720215,5774.310059,47800,5802.75
5841.209961,5854.290039,5685.640137,45000,5695.669922
null,null,null,38800,null
5715.459961,5715.459961,5550.169922,null,5620.97998
5633.149902,5769.790039,5574.680176,39600,5756.759766
5756.299805,5820.450195,5648.140137,41800,5720.629883
5710.129883,5800.939941,5683.609863,44600,5786.350098
5810.209961,5935.680176,5807.72998,37800,5926.220215
5937.459961,5972.939941,5866.620117,30400,5932.52002
5936.410156,5958.910156,5905.22998,44400,5949.779785
5973.709961,5986.410156,5886.97998,37200,5936.959961
5936.649902,6017.009766,5922.379883,37600,6011.660156
6025.850098,6063.910156,6001.569824,32800,6012.350098
6018.950195,6058.990234,5999.129883,30800,6035.799805
6060.140137,6082.799805,6018.810059,30800,6027.02002
6041.359863,6041.359863,5845.069824,31200,5855.100098
5847.970215,5893.620117,5770.870117,40400,5850.720215
5869.609863,5875.22998,5680.359863,41000,5698.040039
5686.810059,5748.149902,5606.839844,28600,5734.439941
5746.790039,5746.790039,5606.859863,42400,5618.149902
5639.830078,5723.310059,5556.310059,33800,5567.120117
5595.830078,5683.290039,5551.640137,34400,5667.509766
5649.299805,5831.549805,5649.299805,41600,5823.169922
null,null,null,32200,null
5830.77002,5870.629883,5792.970215,null,5842.200195
5842.410156,5872.75,5769.339844,39400,5815.870117
5834.370117,5892.779785,5818.77002,36200,5880.350098
5899.259766,5951.029785,5898.569824,37600,5935.189941
5923.350098,5923.350098,5794.819824,36400,5850.609863
5833.189941,5833.189941,5745.560059,37600,5759.290039
5737.689941,5763.709961,5634.399902,35000,5649.859863
5632.129883,5735.939941,5570.810059,36200,5700.399902
5745.060059,5764.200195,5505.97998,38400,5520.660156
5471.169922,5551.919922,5434.970215,38400,5525.089844
