Open,Volume,High,Low,Close
1315.079956,15770000,1326.050049,1293.790039,1320.560059
1322.689941,10100000,1326.719971,1307.800049,1323.030029
1320.680054,14050000,1338.819946,1314.069946,1323.810059
1325.939941,10060000,1329.189941,1314.73999,1332.209961
1334.119995,9760000,1338.709961,1321.800049,1335.459961
1334.01001,9150000,1341.170044,1326.160034,1337.140015
1335.459961,7880000,1342.180054,1322.579956,1334.01001
1331.77002,9170000,1343.75,1329.189941,1326.390015
1328.290039,9030000,1337.589966,1320.22998,1334.449951
1330.420044,6000000,1340.609985,1324.930054,1328.410034
1324.599976,7050000,1336.469971,1318.880005,1321.910034
1320.900024,9400000,1333.670044,1313.400024,1332.890015
1333.219971,10060000,1336.810059,1315.300049,1337.699951
1336.130005,10170000,1343.640015,1326.160034,1338.599976
1333.890015,11060000,1345.98999,1326.390015,1335.459961
1336.579956,10970000,1347.670044,1326.949951,1347.890015
1354.609985,12980000,1351.930054,1331.540039,1357.969971
1352.26001,15510000,1365.930054,1346.209961,1350.920044
1351.030029,12590000,1363.26001,1345.319946,1359.540039
1356.180054,10810000,1363.349976,1346.439941,1357.640015
1357.079956,8790000,1362.119995,1346.890015,1351.810059
1349.800049,18070000,1372.199951,1344.76001,1348.900024
1349.130005,12860000,1359.209961,1335.689941,1353.609985
1352.26001,11870000,1359.880005,1338.599976,1357.079956
1354.280029,10820000,1365.589966,1345.209961,1343.859985
1340.390015,8560000,1358.089966,1338.930054,1346.099976
1347.890015,10790000,1352.599976,1334.900024,1347.449951
1350.02002,10690000,1357.410034,1340.050049,1355.619995
1354.280029,9840000,1361.900024,1342.969971,1353.050049
1348.569946,6220000,1360.099976,1345.430054,1346.890015
1345.880005,6640000,1352.709961,1336.920044,1325.160034
1320.790039,9710000,1350.02002,1322.920044,1325.040039
1324.709961,7260000,1331.209961,1316.310059,1329.859985
1328.849976,8480000,1334.790039,1318.319946,1320.790039
1318.77002,7430000,1331.880005,1317.650024,1314.290039
1314.630005,7200000,1324.369995,1309.140015,1315.300049
1318.550049,7200000,1325.48999,1303.650024,1316.97998
1318.439941,7120000,1326.050049,1311.380005,1317.76001
1312.609985,7550000,1324.709961,1308.130005,1312.719971
1312.050049,10380000,1321.569946,1305.890015,1312.5
1315.969971,6070000,1319.219971,1307.569946,1323.699951
1323.920044,9120000,1328.069946,1311.829956,1329.530029
1330.420044,7180000,1333.670044,1319.109985,1318.099976
1316.420044,8260000,1334.680054,1313.51001,1318.319946
1316.640015,6090000,1322.920044,1310.47998,1317.650024
1321.23999,5160000,1324.26001,1309.810059,1322.469971
1322.920044,6750000,1328.630005,1315.189941,1331.089966
1331.209961,12840000,1334.790039,1316.97998,1335.130005
1335.459961,10400000,1340.050049,1325.160034,1334.01001
1333.670044,9110000,1342.410034,1325.27002,1329.189941
1329.079956,8070000,1337.140015,1322.800049,1326.719971
1326.390015,8610000,1334.119995,1318.209961,1325.829956
1327.170044,8250000,1333,1318.660034,1335.689941
1335.130005,8900000,1341.400024,1323.920044,1339.27002
1337.930054,8680000,1348.22998,1326.609985,1333.449951
1330.199951,10140000,1346.550049,1324.819946,1319.439941
1317.430054,8070000,1334.01001,1314.849976,1312.390015
1314.959961,9940000,1327.400024,1307.01001,1307.680054
1307.349976,10130000,1320.119995,1296.709961,1309.140015
1308.579956,7020000,1315.75,1301.079956,1298.160034
1295.25,10270000,1314.52002,1291.219971,1300.400024
1298.839966,11930000,1307.569946,1283.709961,1306.790039
1306.339966,10130000,1312.949951,1291.219971,1297.939941
1313.959961,11020000,1313.400024,1294.469971,1316.310059
1314.73999,17580000,1323.589966,1305.780029,1321.119995
1323.47998,11040000,1334.569946,1301.859985,1312.050049
1310.599976,12280000,1330.199951,1306,1320.790039
1330.089966,12880000,1325.27002,1301.969971,1328.630005
1329.640015,12020000,1336.810059,1318.550049,1340.949951
1343.410034,15600000,1343.969971,1323.47998,1333.670044
1332.209961,12580000,1351.589966,1327.959961,1333.109985
1330.089966,10700000,1345.430054,1323.810059,1328.73999
1326.050049,8830000,1335.01001,1321.119995,1324.369995
1325.040039,9300000,1335.910034,1315.189941,1325.48999
1324.47998,7620000,1333.890015,1316.199951,1326.719971
1325.599976,7500000,1336.810059,1320.22998,1328.069946
1328.290039,6010000,1333.329956,1318.439941,1339.939941
1340.390015,9210000,1343.410034,1323.699951,1354.72998
1356.73999,8640000,1356.180054,1336.579956,1350.810059
1351.930054,13530000,1364.140015,1343.530029,1368.5
1366.939941,13400000,1371.300049,1346.209961,1369.290039
1368.839966,13980000,1378.359985,1356.849976,1368.839966
1367.050049,12670000,1383.400024,1358.869995,1364.140015
1364.25,7800000,1375.670044,1357.75,1364.359985
1364.469971,9230000,1374.660034,1356.180054,1367.160034
1367.380005,10770000,1373.430054,1357.079956,1362.339966
1360.099976,12230000,1374.550049,1355.290039,1356.52002
1353.050049,11960000,1366.709961,1351.589966,1359.98999
1361.780029,10710000,1364.02002,1346.550049,1368.72998
1373.050049,12310000,1377.689941,1356.180054,1375.569946
1375.459961,15150000,1384.630005,1361.01001,1374.310059
1372.130005,13330000,1383.599976,1362.609985,1390.25
1388.069946,13930000,1393.579956,1367.780029,1389.680054
1386.810059,11580000,1398.51001,1377.060059,1396.670044
1398.390015,13870000,1402.52002,1380.280029,1403.439941
1400.109985,14980000,1411.01001,1386.469971,1399.540039
1397.939941,14160000,1410.109985,1389.910034,1404.359985
1405.72998,11500000,1410.439941,1391.060059,1431.880005
1431.079956,17030000,1432.569946,1402.410034,1433.599976
1432.680054,19860000,1446.099976,1421.099976,1427.75
1425.689941,10740000,1439.790039,1419.380005,1439.219971
1435.780029,12710000,1443.810059,1420.640015,1435.089966
1433.26001,16310000,1450.569946,1425.689941,1440.02002
1444.719971,12790000,1447.25,1422.25,1438.98999
1440.369995,14000000,1452.180054,1430.050049,1439.219971
1445.300049,17360000,1451.48999,1429.23999,1462.27002
1460.780029,20310000,1466.060059,1439.790039,1464.329956
1462.839966,15890000,1475.569946,1451.609985,1456.650024
1456.540039,11070000,1467.089966,1449.430054,1456.77002
1460.439941,20920000,1470.069946,1447.25,1475.689941
1480.280029,23580000,1483.829956,1454.01001,1472.130005
1471.329956,10990000,1486.930054,1463.98999,1457.910034
1455.050049,10620000,1476.26001,1451.26001,1459.060059
1463.76001,9620000,1466.400024,1450.339966,1484.400024
1490.369995,17420000,1488.76001,1457.449951,1482.910034
1476.719971,19850000,1504.01001,1477.97998,1477.180054
1483.939941,15140000,1488.300049,1464.790039,1497.02002
1498.849976,21060000,1504.130005,1478.099976,1499.199951
1498.170044,25800000,1514.910034,1483.939941,1511.699951
1512.040039,25490000,1520.300049,1492.089966,1511.23999
1515.47998,23580000,1523.51001,1496.790039,1535.209961
1538.300049,22730000,1546.439941,1502.75,1553.099976
1556.880005,22700000,1570.869995,1528.900024,1544.5
1543.119995,20390000,1568.810059,1536.349976,1542.430054
1540.369995,20280000,1560.439941,1528.439941,1543.920044
1548.73999,16160000,1552.97998,1532,1543
1539.219971,23510000,1564.560059,1535.670044,1528.780029
1526.380005,15970000,1547.819946,1516.630005,1519.150024
1520.76001,9740000,1532.449951,1508.829956,1526.48999
1530.160034,6770000,1532.569946,1514.680054,1543
1546.099976,9910000,1548.849976,1527.290039,1550.459961
1552.290039,11450000,1557.339966,1534.97998,1546.670044
1546.219971,13630000,1562.839966,1537.5,1537.72998
